period,gclock,sclock,x,y,made,three,dist
2,2.24,0,20.39,2.03,0,1,27.51
3,595.679,9.96,67.5,37.5,1,1,24.653
3,321.839,15,80.14,35.44,0,0,13.532
3,289.119,13.28,77.48,40.41,1,0,19.091
3,195.199,18.44,78.464,3.759,0,0,23.6
3,155.16,16.36,63.64,19.5,1,1,25.705
3,57.919,20.36,61.07,10.5,1,1,31.247
4,263.519,21.04,71.5,43.5,0,1,25.294
4,232,11.32,74.5,39.5,1,0,20.33
4,192.96,15.88,68.51,38.49,0,1,24.323
1,588.239,15.96,72.92,42.79,0,1,23.813
1,240.479,10.92,78.12,8.04,1,0,20.015
1,209.96,9.32,67.23,38.26,0,1,25.277
2,233.32,10.56,70.83,43.19,0,1,25.534
2,194.52,18.2,88.85,25.49,0,0,0.5
2,13.199,6.92,74.81,24.46,1,0,13.95
3,653.88,13.56,12.94,48.39,0,1,24.621
3,604.64,13.84,21.34,29.95,1,0,16.834
3,372.119,15.72,18.49,46.69,1,1,25.411
3,257.239,17.72,2.99,48.25,0,1,23.359
3,213.72,17.28,10.62,31.1,0,0,8.126
3,97.639,16.68,7.22,18.52,0,0,6.772
4,313.32,19.52,8.18,26.14,1,0,3.143
4,217.639,11.68,30.28,26.47,1,1,25.073
4,79.48,6.04,16.62,30.61,0,0,12.678
4,46,6.32,4.05,28.67,0,0,3.861
1,84.519,8.08,67.5,40.07,0,1,26.051
1,503.76,14.28,85.77,27.03,1,0,3.605
2,349.44,16.04,64.21,25.64,1,1,24.548
2,322.88,11.84,86.41,22.81,1,0,3.204
2,173.16,19.56,80.36,47.5,0,1,24.013
2,77.12,13.8,87.5,28.5,1,0,3.716
3,649.119,19.72,7.21,23.79,1,0,2.303
3,599.479,16,26.5,38.5,1,1,25.175
3,474.519,14.12,15.01,47.45,1,1,24.479
3,307.92,15.92,33.5,17.5,1,1,29.228
3,192,16.6,9.08,25.23,0,0,3.836
3,56.439,20.6,34.64,22.5,0,1,29.496
4,291.839,7.72,26.79,46.5,0,1,30.433
4,265.88,3.72,4.95,25.84,0,0,0.891
4,242.52,14.28,4.27,20.42,0,0,4.683
4,162,5.84,6.08,28.32,0,0,3.422
1,624.359,13.28,19.71,5.77,1,1,24.06
1,587.799,15.8,21.73,22.74,1,0,16.634
1,558.559,13.8,11.29,25.45,0,0,6.056
1,407.88,17.04,21.39,32.67,1,0,17.869
1,346.839,10.44,4.73,41.88,0,0,16.888
1,235.08,14.12,29.96,18.12,1,1,25.649
2,232.119,16.24,30.4,14.33,1,1,27.319
2,206.399,17.96,7.43,2.75,0,1,22.356
2,152.52,19.2,5.55,26.72,1,0,1.745
2,0.119,0.119,53.7,5.32,0,1,52.294
3,710.08,14.08,63.93,27.8,0,1,24.977
3,565.28,11.88,63.81,20.96,1,1,25.265
3,530.84,10.4,89.62,1.56,0,1,23.456
3,484.359,15.36,78.84,39.09,1,0,17.226
3,429.799,14.08,80.4,26.27,0,0,8.446
3,407.44,15.96,64.32,16.31,1,1,25.929
3,319.48,5.04,76.97,46.78,1,1,24.761
3,234.16,12.04,71.91,6.32,0,1,25.15
4,284.399,11.52,86.51,21.78,0,0,3.922
1,618.919,14.4,65.17,37.41,0,1,26.646
1,483.92,7.68,71.56,5.76,0,1,25.8
1,424.32,6.48,87.73,30.2,0,0,5.299
1,418.239,19.92,64.01,32.32,1,1,25.8
1,390.88,18.12,62.42,26.63,0,1,26.38
1,309.76,16.12,87.47,29.63,0,0,4.803
1,79.72,17.2,64.18,29.86,0,1,25.046
1,26.579,12.72,67.69,7.72,0,1,27.241
2,303.559,14.72,72.03,35.73,1,0,19.866
2,285.559,13.2,87.68,22.6,0,0,2.627
2,256.119,10.84,72.91,46.42,0,1,26.64
2,121.559,13.64,64.56,17.5,1,1,25.325
2,1.5,1.5,27.21,17.11,0,1,62.043
3,542.159,18.28,4.68,22.69,0,0,2.379
3,525.599,17.64,17.13,2.82,1,1,25.161
3,266.079,19.48,25.45,9.22,1,1,25.632
3,172.24,14.72,20.64,5.8,0,1,24.606
3,82.879,19.2,15.36,46.79,1,1,24.021
4,334.92,9.84,11.87,2.28,0,1,23.664
4,68.72,22.52,31.01,30.67,0,1,26.376
4,22.86,18.68,14.67,47.43,0,1,24.327
1,669.679,20.08,7.61,19.67,0,0,5.829
1,611.919,12.08,30.5,29.5,1,1,25.647
1,518.64,16.36,10.47,47.54,0,1,23.136
1,447.76,13.2,4.24,2.65,0,1,22.372
1,317.119,11.68,9.65,47.48,0,1,22.906
1,4.28,4.28,22.93,41.5,0,1,24.183
2,284.72,21.16,26.5,12.5,0,1,24.653
2,136,9.76,10.42,26.5,0,0,5.383
2,84.44,20.32,18.87,46.44,1,1,25.4
2,47.159,16.96,5.48,25.98,1,0,1.006
3,710.799,14.76,64.5,29.5,0,1,24.663
3,527.2,16.8,73.64,17.07,0,0,17.064
3,489.64,17.76,74.5,45.07,1,1,24.614
3,433.519,11.36,88.5,26.38,0,0,1.402
3,332.32,17.24,66.41,14.33,1,1,24.757
3,268.04,20.48,81.11,2.09,1,1,24.15
3,185.24,6.76,76.5,46.5,1,1,24.744
3,44.759,8.36,60.5,9.5,0,1,32.222
4,242.6,11.08,75.5,45.5,1,1,24.409
4,139.88,9.72,62.5,27.5,1,1,26.368
1,680.599,18.52,18.58,33.58,1,0,15.852
1,580.44,21.8,27.5,15,0,1,24.393
1,443.48,21.52,5.04,27.37,1,0,2.379
1,67.559,20.72,31.21,13.5,1,1,28.393
2,326.48,8.16,22.59,46.61,1,1,27.706
2,246.32,18.6,5.91,47.43,1,1,22.439
2,184.199,8.2,30.94,34.17,0,1,27.277
2,53.88,13.52,4.5,25.5,1,0,0.901
2,3.46,3.46,6.49,26.34,0,0,1.825
3,506.2,18.32,70.94,37.57,1,0,21.799
3,345.2,9.72,66.86,8.61,0,1,27.346
3,233.039,16.6,74.61,45.39,0,1,24.813
3,133.119,19.28,62.57,21.45,1,1,26.419
4,158.52,11.76,76.69,39.35,0,0,18.744
4,98.68,20.56,71.62,42.56,1,1,24.531
1,664.4,18.16,80.79,31.83,1,0,10.488
1,612.799,15.52,88.47,48.07,1,1,23.071
1,516.2,18.96,75.53,4.54,0,1,24.359
1,391.559,15.6,73.58,21.08,1,0,15.668
1,278.119,13.24,87.94,28.81,1,0,3.895
1,248.52,15.6,77.74,46.68,1,1,24.315
1,221.199,16.84,69.68,40.43,0,1,24.53
1,96,14.08,67.88,39.4,0,1,25.355
1,59.599,17.36,79.49,16.19,0,0,12.781
1,1.2,1.2,44.79,4.11,0,1,48.671
2,152.759,15.04,74.21,2.63,1,1,26.68
3,704.159,8.16,15.24,44.79,1,0,22.168
3,672.479,15.92,5.44,24.43,1,0,0.6
3,643.919,16.88,27,12.14,1,1,25.267
3,536.08,15.88,15.446,46.283,0,0,23.6
3,426.32,20.56,5.15,20.52,0,0,4.481
3,405.92,13.88,3.91,21.56,1,0,3.691
3,263.88,11.8,29.89,32.07,1,1,25.634
3,173.839,13.84,28.41,12.75,1,1,26.2
3,133.759,10.84,28.73,28.74,1,1,23.775
3,31.879,8.56,19.34,21.6,0,0,14.494
4,335.559,14.32,8.55,16.16,1,0,9.435
4,223.96,14.48,23,8.15,0,1,24.474
4,104.239,19.36,32.69,24.13,1,1,27.453
4,70.04,11.16,7.72,20.44,1,0,5.185
4,43.919,6,9.07,28.01,0,0,4.863
1,457.88,10.56,75.5,46.5,0,1,25.254
1,276.04,17.04,86.22,32.14,1,0,7.574
1,244.839,22.16,70.5,7.5,0,1,25.284
1,225.72,12.56,90.23,20.92,0,0,4.34
1,159.839,20.16,77.5,31.5,0,0,12.992
1,29.639,18.48,88.56,28.73,0,0,3.734
1,3.759,3.759,87.25,22.3,1,0,3.088
2,271.079,18.32,63.5,17.5,1,1,26.34
2,238.759,17.64,81.5,47.5,0,1,23.639
2,63.88,20.96,85.68,25.42,1,0,3.098
3,482.64,16.24,10.13,21.56,0,0,5.97
3,355.279,19.6,11.63,17.66,0,0,9.725
3,332.2,11.92,23.5,8.36,0,1,24.697
3,158,8.72,25.5,9.5,0,1,25.501
3,25.78,16.96,3.09,47.32,0,1,22.424
1,670.719,16.92,9.5,1.5,0,1,23.881
1,470.32,17.84,3.54,48.41,0,1,23.472
1,455.32,18.76,29.07,14.07,0,1,26.207
1,419.359,9.36,3.5,26.79,0,0,2.503
1,315.32,13.2,8.29,48.4,0,1,23.596
1,265.959,18.92,32.5,32.5,1,1,28.263
1,41.259,15.52,6.05,30.03,1,0,5.093
2,334.519,9.72,9.2,26.99,1,0,4.422
2,141.279,10.28,6.05,26.4,0,0,1.612
2,13.52,5.48,7.21,23.21,1,0,2.654
3,594.239,7.2,82.97,27.92,0,0,6.475
3,542.039,14.24,89.54,18.91,0,0,6.141
3,533.64,5.84,85.67,48.26,1,1,23.463
3,325.399,17.2,68.5,3.5,1,1,29.534
3,293.72,13.08,61.5,26.5,0,1,27.291
3,160.16,6.2,89.66,36.41,1,0,11.446
4,192.679,15.56,63.21,32.5,0,1,26.618
4,133.32,7.8,89.35,48.05,0,1,23.057
1,527.4,14.24,71.44,43.16,1,1,25.088
1,450.399,15.48,78.26,47.3,1,1,24.644
1,418.64,17.44,82.92,25.67,1,0,5.868
1,190.16,13.6,64.29,30.94,0,1,25.17
1,128.24,16.16,66.65,46.77,0,1,31.021
1,81.639,16.04,65.22,36.66,0,1,26.26
1,44.919,10.84,88.94,22.92,1,0,2.088
2,108.919,13.52,75.13,45.14,0,1,24.313
2,104.519,23.2,87.85,30.23,1,0,5.306
2,74.12,10.44,64.49,33.59,0,1,25.735
3,547.679,15.76,28.39,35.51,1,1,25.414
3,397.72,15.92,20.06,23.61,0,0,14.875
3,343.92,18.4,18.42,46.12,1,1,24.889
3,119.199,6.8,21.65,47.49,0,1,27.834
3,107.12,14.6,7.24,28.11,0,0,3.692
4,237.6,10.88,9.42,14.64,0,0,11.167
4,116.319,10.64,24.32,41.25,0,1,25.054
4,22.86,21.48,34.52,35.45,1,1,31.079
1,616.919,18.16,17.58,42.15,1,0,21.122
1,463.799,14.4,31.68,13.27,0,1,28.916
1,165.279,8.2,30.24,29.13,0,1,25.328
1,141.88,15.12,14.54,24.6,1,0,9.298
1,101.639,8.64,30.72,15.76,1,1,27.094
1,43.54,7.52,11.91,21.44,0,0,7.551
2,234.759,14.84,7.03,21.77,1,0,3.687
2,190.72,14.56,28.31,15.51,0,1,24.936
2,13.72,10.4,30.17,24.78,0,1,24.92
3,598.08,11.36,84.16,47.98,0,1,23.433
3,464.359,13.64,70.95,41.24,1,1,24.095
3,220.16,5,64.33,30.34,0,1,24.997
3,154.479,10.4,87.91,28.43,1,0,3.531
3,44.88,23.2,83.93,24.21,0,0,4.884
3,1.279,1.279,23.08,3.02,0,1,69.25
4,344.44,8.2,90.22,48.52,0,1,23.565
1,536.84,14.6,11.31,2.28,0,1,23.514
1,485.88,16.4,21.92,28.94,1,0,17.129
1,218.199,17.08,28.58,6.62,1,1,29.7
1,179.36,13.52,24.83,7.4,1,1,26.327
1,143.639,8.6,26.27,8.71,0,1,26.593
2,214.119,18.48,23.45,7.79,0,1,25.048
2,54.919,5.28,6.55,2.35,1,1,22.687
3,382.519,19.8,67.5,41.41,0,1,26.848
3,303.519,11.92,64.43,34.56,1,1,26.131
3,266.119,13.2,85.14,23.49,1,0,3.913
3,89.8,12.04,82.36,27.64,1,0,6.913
3,39.939,16.12,63.5,27.5,0,1,25.373
1,389.399,12.32,69.467,38.951,1,1,23.8
1,231.96,21.72,85.54,48.06,1,1,23.282
1,198.8,20.64,68.87,40.14,0,1,24.988
1,104.68,10.56,86.27,23.46,1,0,2.919
1,27.94,17.4,88.06,31.58,1,0,6.616
1,2.64,2.64,65.34,11.49,0,1,27.028
2,288.6,13.32,88.39,22.92,1,0,2.11
2,232.6,14.16,84.62,27.8,0,0,4.989
2,70.199,12.72,66.52,38.14,1,1,25.823
2,12.84,4.16,62.46,19.58,0,1,26.842
3,126.279,13.48,15.99,15.3,0,0,14.471
3,9.34,4.36,5.06,30.28,1,0,5.283
3,0.56,0.56,71.81,23.55,0,1,66.575
1,687.799,17.56,61.53,23.3,0,1,27.273
1,520.479,19.24,64.49,35.44,0,1,26.411
1,338.119,15.64,65.33,34.58,0,1,25.303
1,318.799,14.76,71.441,41.335,0,1,23.8
1,130.32,21.8,67.99,9.53,1,1,25.89
1,63.639,10.88,74.15,32.68,1,0,16.496
1,41.06,12.32,87.88,28.97,0,0,4.064
1,0.4,0.4,23.55,26.45,0,1,65.216
2,344.48,15.32,85.01,26.1,1,0,3.898
2,218.08,19.16,84.74,34.93,1,0,10.709
2,35.779,18.56,73.14,47.49,1,1,27.376
2,6.26,6.26,79.95,24.8,1,0,8.802
3,580.479,19.08,27.59,36.73,1,1,25.232
3,491.839,13.84,20.37,38.29,1,0,20.13
3,161.88,17.68,7.23,26.67,0,0,2.59
3,147.199,20.68,9.79,23.24,0,0,4.869
3,1.659,1.659,47,40.44,0,1,44.513
1,540.32,10.8,87.39,42.23,0,0,17.283
1,517.559,14.76,73.96,3.64,0,1,25.98
1,318.04,17.52,64.29,22.01,0,1,24.642
1,170.36,17.12,91.67,12.85,0,0,12.495
1,54,16.64,84.11,28.56,0,0,5.848
1,0.36,0.36,86.07,27.57,1,0,3.713
2,327.679,11.48,81.82,21.58,0,0,7.727
2,277.92,11.88,89.71,1.35,0,1,23.669
2,127.839,19.08,70.96,5.15,1,1,26.655
3,708.919,12.92,21.67,6.67,1,1,24.609
3,562.88,21.24,32.08,27.02,0,1,26.905
3,430.32,16,4.68,22.93,1,0,2.147
3,395.839,11.96,4.7,23.88,1,0,1.247
3,271.399,21.84,5.25,47.73,0,1,22.73
4,432.76,18.04,29.44,29.27,1,1,24.563
4,342.16,15.36,9.88,2.05,0,1,23.412
4,254.88,14.64,28.11,33.31,0,1,24.323
1,694.479,12.44,6.31,19.75,1,0,5.355
1,192.479,7.76,7.75,6.44,0,0,18.727
1,163.32,19.24,4.49,3.01,0,0,22.003
1,45.759,20.28,31.71,37.22,0,1,29.145
1,1,1,40.64,34.07,1,1,36.533
2,166.72,22.6,29.32,31.49,1,1,24.929
2,7.219,5.2,29.5,16.5,1,1,25.696
3,711.84,15.84,89.76,23.59,1,0,1.734
3,577.559,10.12,88.67,32.27,1,0,7.27
3,505.32,19.4,87.41,22.08,1,0,3.212
3,461.519,23.08,76.63,46.46,1,1,24.646
3,226.44,16.96,62,23.77,1,1,26.778
3,179,14.72,64.33,32.31,0,1,25.49
3,63.479,13.8,90.57,22.77,0,0,2.878
3,37.74,10.52,88.95,10.45,1,0,14.551
3,9.279,4.24,86.91,23.55,0,0,2.342
4,361.16,16.32,61.97,23.74,1,1,26.809
4,324.119,12.44,64.37,30.67,0,1,25.03
4,214.8,12.08,84.6,21.44,1,0,5.467
4,109,14.92,61.96,35.2,1,1,28.666
4,95.919,15.36,63.89,28.61,1,1,25.12
1,506.88,16.36,4.33,27.88,0,0,3.023
1,463.079,11.24,18.97,3.44,1,1,25.555
1,165.039,20.72,31.12,32.73,1,1,27
1,89.839,13.12,19.76,46.15,0,1,25.648
1,65.319,18.24,7.85,2.02,0,1,23.126
2,326.799,15.24,22.38,10.82,0,0,22.237
2,292.959,17.88,4.64,23.93,1,0,1.231
2,162.039,15.08,6.36,24.25,0,0,1.339
2,86.199,5.92,18.79,45.5,1,1,24.567
2,0.86,0.86,70.02,42.41,0,1,67.069
3,626.28,13.52,86.87,47.91,0,1,22.987
3,583.719,10.28,64.5,25.72,0,1,24.26
3,538,4.36,83.67,35.02,0,0,11.234
3,457.839,12.68,85.94,23.53,1,0,3.171
3,402.559,5.4,86.5,48.5,1,1,23.607
3,328.48,14.12,64.5,19.51,1,1,24.863
3,290.2,11,75.56,13.51,1,0,17.492
3,269.679,17.16,86.93,2.59,0,1,22.483
3,135.919,17.24,90.21,2.62,0,1,22.427
1,617.08,18.6,73.73,18.78,1,0,16.256
1,596.239,20.6,61.64,27.5,0,1,27.225
1,425.32,17.4,68.03,39.84,0,1,25.486
1,246.08,11.08,61.97,18.7,1,1,27.511
1,123.04,17.04,73.19,30.66,0,0,16.557
1,11.579,5.68,87.43,22.55,1,0,2.782
2,374.48,9.68,85.87,47.6,0,1,22.782
3,661.96,20.56,32.71,17.45,1,1,28.479
3,637.2,17.44,22.77,41.97,0,1,24.391
3,537.2,17.72,6.21,21.64,0,0,3.494
3,374,18.16,3.31,3.01,0,0,22.075
3,342.88,16.64,6.79,21.5,1,0,3.823
3,269.88,6.88,12.46,7.66,1,0,18.779
3,217.039,16.12,28.5,13.5,1,1,25.938
3,98.4,18.56,27.8,15.56,1,1,24.446
3,8.52,6.4,20.24,2.1,0,1,27.369
1,537.799,18.84,72.36,23.5,0,0,16.458
1,499.079,21.16,89.08,22.56,0,0,2.462
1,411.16,13.32,90.87,48.59,1,1,23.685
1,179.559,18.04,65.29,44.16,0,1,30.289
1,143.72,13.92,66.56,12.29,1,1,25.572
1,13.56,5.88,72.47,6.01,1,1,25.013
2,224.6,15.84,86.66,28.8,0,0,4.336
2,218.039,20.24,70.99,44.36,0,1,26.272
2,119.879,14.24,80.16,3.01,0,0,23.608
3,615.44,7.32,11.73,46.44,0,0,22.397
3,495.64,11.16,10.28,17.47,0,0,9.055
3,236.52,19.48,18.36,3.83,0,1,24.9
3,207.16,14.56,8.29,24.63,1,0,3.062
3,178.8,21.68,28.19,41.74,0,1,28.398
3,137.8,23.24,5.29,48.02,1,1,23.02
4,366.399,6.56,7.22,19.92,0,0,5.448
4,186.919,14.8,23.07,43.15,0,1,25.435
1,682.119,11.44,7.11,23.52,1,0,2.376
1,601.559,18.32,30.77,36.54,0,1,28.007
1,569.919,12.88,5.16,18.56,0,0,6.44
1,435.6,19.68,10.02,48.21,0,1,23.695
1,326.399,14.96,14.32,47.51,1,1,24.268
1,155.08,10.88,6.45,23.27,0,0,2.105
1,106.08,14.28,5.77,20.54,0,0,4.49
2,330.04,9.96,22.5,45.5,1,1,26.792
2,295.239,8.08,23.31,18.71,1,0,19.124
2,264.079,10.8,15.54,2.56,1,1,24.686
2,208.919,10.08,5.62,21.85,1,0,3.171
2,113.279,15.52,31.07,20.5,0,1,26.209
2,106.16,22.8,6.28,21.2,0,0,3.937
2,66.68,10.36,26.5,12.5,0,1,24.653
2,5.46,1.88,7.08,28.8,1,0,4.217
3,678.4,17.68,70.5,44.5,1,1,26.707
3,644.84,17.32,82.17,47.48,0,1,23.423
3,585.039,16.2,89.5,48.36,0,1,23.372
1,638.479,17.32,71.5,2.79,0,1,28.121
1,615.599,12.36,74.12,30.98,1,0,15.804
1,420.32,19.8,64.33,30.43,0,1,25.016
1,133.919,14,65.5,33.5,0,1,24.755
1,117.72,16.8,87.97,22.48,1,0,2.637
1,86.959,18.08,60.56,21.3,1,1,28.431
1,60.119,21.52,61.64,23.5,1,1,27.151
2,331.92,18.52,75.17,27.72,0,0,13.849
2,318.279,14.48,64.5,28.5,1,1,24.501
2,28.6,13.76,63.5,3.64,0,1,33.072
3,558.32,17.48,5.11,26.91,1,0,1.915
3,526.159,14.72,6.95,28.25,1,0,3.667
3,441.119,3.24,6.89,27.19,0,0,2.736
3,268.6,22.6,7.27,47.05,1,1,22.142
3,246.16,20,28.69,10.86,0,1,27.374
3,211.96,16.08,23.64,19.5,1,0,19.194
3,173.44,16.72,30.5,19.5,0,1,25.842
3,121.72,11.2,7.89,19.51,1,0,6.091
3,85.76,15.8,27.5,13.5,1,1,25.046
3,62.439,19.44,27.5,38.5,1,1,26.025
4,150.399,4.4,32.5,18.5,0,1,28.014
1,591.84,16.84,81.09,11.73,0,0,15.322
1,579.08,19.36,87.17,22.98,0,0,2.564
1,705.88,11.16,81.62,38.09,0,0,14.905
1,638.679,16.6,61.5,33.5,0,1,28.544
1,522.119,14.44,72.21,13.5,1,0,20.145
1,376.799,16.76,65.5,34.5,0,1,25.115
1,319.76,16.52,74.07,32.5,0,0,16.484
1,216.919,17,74.99,3.09,0,1,25.872
2,388.239,7.56,74.83,10.86,1,0,19.842
2,329.76,8.12,75.62,30.1,1,0,14.085
2,306.399,16.92,73.64,33.5,1,0,17.336
2,219.199,16.2,64.63,20.58,0,1,24.521
2,137.479,18.92,64.43,33.49,0,1,25.759
2,109.599,4.12,91.5,43.5,1,0,18.703
3,660.32,9.6,19.62,4.72,1,1,24.855
3,626.44,9.04,29.4,20.45,0,1,24.574
3,573.479,16.28,13.24,40.71,1,0,17.625
3,478.88,17.68,6.52,21.13,0,0,4.073
3,355.399,9.72,29.5,17.5,1,1,25.383
3,273.16,23.4,4.89,24.68,1,0,0.481
3,236.639,14.64,12.42,32.44,0,0,10.332
3,210.6,15.12,13.97,2.54,1,1,24.093
1,251.08,14.44,22.09,45.15,1,1,26.26
1,203.72,17.68,14.57,24.07,0,0,9.366
1,184,15.44,6.71,20.74,1,0,4.503
1,79.519,15.24,32.62,10.4,1,1,31.02
2,487.04,19.88,29.72,14.5,0,1,26.627
2,173.96,13.88,25.28,42.17,0,1,26.381
2,4.38,4.38,32.51,21.57,0,1,27.474
2,611.479,11.76,6.09,25.15,1,0,0.853
2,592.52,18.16,30.75,29.95,0,1,25.975
2,566.32,16.84,26.44,30.7,1,0,21.943
3,402.839,5.44,66.04,32.53,1,1,23.925
3,379.2,16.28,72.62,20.13,0,0,16.849
3,312.239,4.28,88.61,17.38,0,0,7.621
3,211.479,19.6,63.31,21.35,0,1,25.7
3,72.4,13.36,77.27,38.38,0,0,17.629
3,50.599,20.24,61.65,36.46,1,1,29.423
4,415.76,16.08,64.24,26.4,0,1,24.549
4,109,11.32,72.58,42.84,1,1,24.077
1,547.32,18.12,68.91,27.98,0,0,20.062
1,481.44,19,82.18,18.84,1,0,9.006
1,406.359,12.88,63.87,29.6,0,1,25.301
1,223.88,14.28,75.5,38.82,0,0,19.145
1,154.279,20.24,61.53,23.42,0,1,27.265
1,12.979,7.08,78.11,21.43,0,0,11.222
2,221.839,17.44,64.29,18.42,1,1,25.329
2,150.759,22.44,74.49,3.83,1,1,25.524
2,123.959,15.72,74.84,29.57,0,0,14.641
2,11.26,6.92,63.18,25.39,0,1,25.572
3,608.32,18.2,17.64,46.49,0,1,24.805
3,442,16.52,19.34,27.46,0,0,14.303
3,334.04,17.44,30.44,18.71,0,1,25.963
3,124.76,15.2,25.21,24.33,0,0,19.971
3,93.8,21.8,4.84,24.13,1,0,0.961
3,31.579,22.84,6.2,21.59,0,0,3.539
4,454.079,18.36,29.18,20.46,1,1,24.356
4,425.279,16.12,6.5,26.46,1,0,1.922
4,392.64,13.4,21.69,43.45,0,1,24.711
1,615.159,21.04,62.4,28.91,0,1,26.638
1,542.359,13.44,69.07,10.15,1,1,24.654
1,476.88,10.08,68.39,25.52,0,0,20.366
1,404.88,11.12,91.49,2.19,1,1,22.973
2,322.64,16.64,64.03,26.87,0,1,24.79
2,102.959,13.28,78.81,20.55,0,0,10.89
2,96.279,22.72,79.568,3.259,0,0,23.6
2,45.479,18.36,86,25.01,1,0,2.75
3,598.159,11.08,9.97,1.97,1,1,23.508
3,517.52,16.36,34.19,20.47,0,1,29.292
3,266.16,14.04,19.66,5.67,0,1,24.11
4,602.28,10.16,23.26,20.67,1,0,18.523
4,576.08,16.64,23.59,8.31,0,1,24.797
4,483.119,20.52,5.2,26.55,1,0,1.55
4,455.279,17.68,27.24,14.38,0,1,24.42
4,298.359,16.32,24.19,26.17,0,0,18.976
4,220.72,17,32.38,22.28,1,1,27.266
4,200.36,17.88,26.36,21.64,1,0,21.375
1,509.2,11,21.11,26.47,1,0,15.927
1,464.6,11.68,16.93,27.06,0,0,11.86
1,212.16,6.36,3.07,44.93,1,0,20.048
2,374.559,16.24,24.5,18.5,1,0,20.317
2,337.399,12.76,25.5,12.5,1,1,23.797
2,285.72,14.56,18.24,15.13,0,0,16.314
2,131.479,21.2,8,25.99,1,0,2.922
2,68.12,19.76,28.93,10.5,0,1,27.766
2,443,17.2,10.29,32.93,1,0,9.396
3,653.799,17.44,87.41,21.68,1,0,3.58
3,519.239,19.64,76.76,2.54,1,1,25.46
3,411.359,20.2,60.5,15.79,1,1,29.713
3,386.6,13.04,73.13,5.88,0,1,24.689
3,348.239,8.64,70.93,42.36,0,1,24.878
3,278.72,18.2,85.17,19.6,0,0,6.478
3,257.279,15.28,62.64,26.5,0,1,26.153
4,607.559,15.64,69.18,29.52,0,0,20.085
4,500.799,12.88,73.36,33.36,1,0,17.514
1,673.4,20.8,58.91,23.69,0,1,29.868
1,638.239,9.32,84.91,23.73,1,0,4.044
1,437.72,14.56,78.93,47.78,1,1,24.806
1,325.88,15.92,80.54,16.72,0,0,11.66
1,301.76,12.68,78.8,2.07,0,1,24.995
2,331.079,16.12,88.96,30.53,1,0,5.533
2,271.72,7.48,84.78,26.37,1,0,4.199
2,235.199,17.16,85.08,28.94,0,0,5.384
3,594.119,4.96,4.68,30.68,1,0,5.708
3,266.239,16,9.64,25.06,0,0,4.39
3,244.119,17.88,3.7,22.06,1,0,3.323
3,124.519,13.64,30.77,39.62,0,1,29.411
3,93.639,11.2,16.51,35.96,0,0,15.713
4,254.36,20.64,19.4,44.74,0,1,24.287
4,172.759,8.88,4.98,22.18,1,0,2.832
4,111.44,8.16,5.06,22.86,1,0,2.148
1,687.2,20,70.5,3.5,0,1,28.201
1,493.839,13.64,90.21,26.55,1,0,2.129
1,388.119,4.32,86.1,21.12,1,0,4.698
1,197.36,20.96,63.58,38.4,0,1,28.514
1,168.639,12.6,64.48,36.16,0,1,26.712
1,29.92,8.04,87.32,26.14,1,0,1.828
1,3.779,3.779,60.82,29.25,0,1,28.251
2,28.76,18.72,60.39,23.97,0,1,28.378
3,614.52,12.96,5.85,25.92,0,0,1.098
3,537.919,16.8,5.7,22.02,1,0,3.013
3,405.519,10.72,28.36,11.67,0,1,26.678
3,372.88,14.96,18.22,23.44,1,0,13.063
3,180.72,17.96,5.09,23.89,0,0,1.121
4,706.44,10.44,7.42,26.43,0,0,2.598
4,680.359,16.76,6.2,17.55,0,0,7.51
4,663.76,22.16,24.48,44.6,1,1,27.458
4,637.599,19.28,5.32,27.1,1,0,2.101
4,439.88,14.64,10.69,21.86,0,0,6.281
4,354.44,18.76,28.87,18.87,0,1,24.402
1,657.239,17.96,20.18,46.58,0,1,26.241
1,544.88,4.72,4.59,1.89,1,1,23.119
1,421.839,17.24,35.54,21.4,0,1,30.503
1,329.839,18.76,5.3,22.56,1,0,2.44
1,310.16,16.96,26.5,10.93,0,1,25.485
1,279.64,4.08,18.93,45.93,0,1,25.004
1,274.959,21.68,2.56,47.6,0,1,22.759
2,201.08,9.8,16.62,47.82,0,1,25.495
2,167.759,12.08,18.21,41.07,0,0,20.644
2,143.279,8.24,8.1,21.82,1,0,4.27
2,28.42,17.92,5.58,18.65,0,0,6.358
2,645.52,15.92,12.74,25.58,0,0,7.512
3,707.559,11.56,81.8,24.15,1,0,7.001
3,651.52,20.32,87.73,28.36,1,0,3.511
3,375.48,9.4,87.09,21.68,1,0,3.711
3,340.6,17.4,89.4,26.17,1,0,1.338
3,309.359,10.2,63.64,45.5,1,1,32.415
3,244.039,7.08,62.5,19.64,1,1,26.791
3,212.44,13.12,85.55,22.44,1,0,4.097
4,643.52,9.72,84.78,36.97,0,0,12.611
4,582.719,7.36,73.5,44.5,1,1,24.755
4,428,11.2,87.15,25.49,1,0,1.673
4,380.44,11.8,60.5,27.5,1,1,28.36
4,332.119,15.08,89.5,47.5,0,1,22.512
1,673.359,16.68,6.94,2.54,1,1,22.523
1,485.959,0.4,24.55,9.02,0,1,25.056
1,204.72,16.32,10.57,16.71,1,0,9.85
2,325.519,19,11.31,26.2,1,0,6.177
2,1.259,1.259,2.51,16.38,0,0,9.044
