period,gclock,sclock,x,y,made,three,dist
1,119.08,17.64,9.92,22.95,1,0,5.1
1,79.12,8.92,9.29,11.45,1,0,14.139
2,280.239,7.56,11.88,1.95,0,1,23.984
2,228.919,9.04,4.88,25.49,1,0,0.614
2,158.679,9.52,5.4,26.35,1,0,1.358
2,74.44,20.4,36.66,28.02,0,1,31.554
3,679.08,18.6,75.07,32.5,1,0,15.601
3,275.76,13.96,65.39,33.12,1,1,24.731
3,242.72,13.84,61.16,26.73,0,1,27.644
3,216.759,11.72,89.72,24.01,1,0,1.386
4,113.44,21.2,88.69,23.09,0,0,1.91
4,105.919,13.68,68.02,9.3,0,1,26.004
1,642.479,22.92,87.73,1.82,0,1,23.202
1,521.76,20.28,85.49,20.8,0,0,5.316
1,431.239,10.96,89.93,1.36,1,1,23.669
1,344.88,19.88,69.66,42.2,1,1,25.695
1,139.88,11.44,88.65,2.03,0,1,22.97
1,136.36,23.72,82.39,22.61,0,0,6.794
1,9.439,7.28,73.9,45.71,0,1,25.483
2,85.44,19.32,63,24.84,0,1,25.75
2,82.199,23.2,63.83,26.48,1,1,24.963
2,29.54,20.2,86.93,25.13,1,0,1.824
3,548.08,9.2,4.69,20.22,0,0,4.812
3,362.6,22.44,5.91,47.77,1,1,22.779
3,290.239,13.52,20.7,29.36,1,0,16.053
3,243.839,13.72,17.59,3.35,1,1,24.919
3,80,19.36,20.4,45.56,1,1,25.538
3,34.58,12.36,5.46,27.92,0,0,2.927
3,1,1,29.48,30.64,1,1,24.877
1,500.88,16.64,75.76,46.55,0,1,25.162
1,244.559,19.64,86.21,31.49,0,0,6.969
1,77.04,21.72,86.84,27.71,1,0,3.315
1,44.36,12.12,64.59,29.76,1,1,24.624
1,4,4,80.64,47.69,1,1,24.095
2,259.44,17,63.62,34.19,1,1,26.757
2,142.279,19.76,86.41,24.97,1,0,2.34
2,82.199,15.4,86.32,26.74,0,0,2.988
3,526.039,18.64,20.5,21.5,1,0,15.646
3,325.279,13.2,6.53,27.06,0,0,2.425
3,320.519,8.44,3.6,43.51,0,0,18.583
3,191.72,20.72,27.42,17.01,0,0,23.565
3,175.759,21.56,9.54,26.05,1,0,4.416
3,120.639,16,16.5,41.36,0,0,19.854
1,554.559,16.52,64.55,18.68,0,1,25.011
1,502,15.84,70.81,24.53,0,0,17.946
1,292.04,14.8,80.43,35.99,1,0,13.784
1,250.08,11.04,76.43,30.64,0,0,13.549
2,322.16,20.32,66.99,41.96,0,1,27.588
2,220,10.08,71.21,43.21,1,1,25.283
2,190.039,20.16,80.26,12.21,0,0,15.351
2,157.919,6.68,87.71,48.24,1,1,23.263
2,138.199,19.24,67.8,6.65,0,1,27.85
3,421.679,23.48,3.85,48.17,1,1,23.212
3,375.239,18.72,29.52,16.34,1,1,25.768
3,311.2,19,19.43,4.15,0,1,25.214
3,164.44,19.56,30.46,26.89,0,1,25.28
3,114.48,9.6,14.25,14.8,1,0,13.602
3,92.36,19.16,28.4,34.71,1,1,25.103
1,613,16.2,11.7,38.71,0,0,15.151
1,431.72,18.08,31.5,37.5,0,1,29.074
1,294.679,17.92,6.34,28.17,0,0,3.352
1,289.48,21.96,7.78,46.99,0,0,22.135
1,200.639,13,9.44,25.12,0,0,4.191
1,121.319,15.12,15.71,25.89,0,0,10.497
1,64.04,18.88,30.17,21.15,0,1,25.215
1,3.46,3.46,5.78,27.24,1,0,2.301
2,344.76,18.48,29.29,20.99,0,1,24.372
2,273.6,15.64,11.75,47.76,0,1,23.669
3,598.559,19.72,64.64,9.5,1,1,28.662
3,482.559,13.84,89.27,28.67,0,0,3.706
3,339.44,16.92,74.49,21.52,1,0,14.678
3,283.92,13.88,72.5,5.79,0,1,25.161
3,230.759,19.92,67.07,38.5,0,1,25.539
3,143.72,16.24,84.44,25.37,0,0,4.325
3,137.279,9.8,83.38,36.62,0,0,12.8
3,53.479,7.84,86.36,8.61,1,0,16.563
3,16.879,9.8,65.52,13.53,0,1,25.907
4,279.679,8.6,88.69,26.5,0,0,1.501
4,249.559,12.68,64.07,16.5,1,1,26.102
1,383.2,14.8,14.7,25.47,1,0,9.461
1,298.119,18.96,22.37,37.66,0,0,21.292
1,233.16,13.84,12.43,35.49,0,0,12.711
1,192.24,16.76,30.58,27.44,0,1,25.447
1,91.4,16.12,2.01,13.79,0,0,11.668
1,13.1,13.1,23.5,6.5,1,1,25.986
2,289.239,3.04,4.82,25.31,0,0,0.53
2,267.679,11.08,29.64,26.5,0,1,24.436
2,168.36,17.72,26.53,21.14,1,0,21.627
2,102.199,20.76,20.5,45.5,1,1,25.55
2,82.12,17.92,18.19,32.65,1,0,15.032
2,3.259,3.259,28.5,12.93,0,1,26.196
3,654.359,9.24,88.17,34.16,1,0,9.178
3,611.239,17,68.56,7.42,0,1,26.771
3,534.2,17.8,80.56,34.17,1,0,12.294
3,335.959,22.28,66.93,37.64,0,1,25.216
3,297.88,12.84,80.77,23.2,0,0,8.18
3,245.8,18.6,87.48,21.44,0,0,3.779
3,141.08,18.56,88.07,26.46,0,0,1.61
1,567.52,13.24,88.99,1.87,0,1,23.131
1,442.2,10.36,76.66,47.22,0,1,25.296
1,316.64,13.32,87.09,26.29,0,0,2.102
1,282,14.52,73.21,5.36,1,1,25.044
1,223.399,14.12,77.64,15.5,0,0,14.617
1,4.46,4.46,74.55,46.85,0,1,26.058
2,355.279,10.68,63.5,26.5,1,1,25.294
2,303.72,18.44,78.71,9.46,1,0,18.501
2,279.6,17.4,71.99,28.33,0,0,17.087
2,78.319,14.28,73.07,10.93,0,0,21.067
3,683.64,13.76,25.41,25.41,1,0,20.164
3,517,18,30.45,27.5,0,1,25.323
3,435.559,13.84,4.32,29.63,0,0,4.722
3,177.839,16.88,16.5,47.5,1,1,25.155
3,134.279,15.84,29.36,33.36,0,1,25.518
3,78.68,17.48,25.5,11.5,0,1,24.337
1,485.079,16.6,88.49,26.27,0,0,1.296
1,482.799,23.88,65.45,19.18,1,1,24.015
1,407.799,18.84,69.45,7.35,0,1,26.153
1,272.32,12.6,75.86,31.47,0,0,14.422
1,178.039,15.36,86.74,25.19,0,0,2.018
1,104.72,19.04,64.22,33.53,0,1,25.97
2,350.839,3.24,82.27,16.66,0,0,10.561
2,212.16,18.96,72.56,36,0,0,19.573
2,53.639,14.68,69.98,9.24,0,1,24.508
3,163.96,9.24,25.25,40.08,0,1,25.048
4,400.44,3.52,6.68,23.54,1,0,2.043
4,283.32,18.04,26.51,37.17,1,1,24.496
4,244.679,11.76,19.9,44.88,0,1,24.694
4,143.039,10.8,22.48,4.74,0,1,26.595
4,6,6,28.11,10.3,0,1,27.178
1,676.44,10.8,70.404,39.846,0,0,23.6
1,650.96,19.88,87.66,25.89,1,0,1.407
1,631.559,17.48,80.34,3.01,0,0,23.543
1,541.239,12.08,90.55,43.19,0,0,18.278
1,370.88,15.96,82.62,1.97,0,1,23.831
1,351.359,15.96,69.5,23.36,1,0,19.319
1,257.119,18.36,76.77,13.77,1,0,16.42
1,208.44,9.04,71.79,9.24,0,0,23.152
1,150.08,9.36,87.07,28.78,0,0,4.136
1,126.599,14.48,85.17,3.01,1,0,22.279
1,85.16,9.88,87.24,21.24,0,0,4.051
1,43.22,16.92,71.79,23.5,1,0,17.026
1,1.019,1.019,47.79,30.93,0,1,41.387
2,328.239,10.12,71.1,7.79,0,1,24.651
2,256.279,16.96,80.56,26.71,0,0,8.366
2,185.559,19.72,80.64,29.85,0,0,9.449
2,45.279,14.04,65.54,16.5,0,1,24.717
3,673.4,12,19.84,22.08,1,0,14.879
3,580.799,14,28.41,33.69,1,1,24.736
3,478.92,17,22.83,21.96,1,0,17.84
3,283.16,23,31.19,24.24,1,1,25.951
3,131.839,15,29.86,29.12,1,1,24.952
3,110.279,18,9.34,24.12,0,0,4.183
3,84.76,10,20.86,10.81,0,0,21.095
3,49.52,8,31.55,16.07,1,1,27.774
4,201.52,8,22.49,7.61,0,1,24.487
1,577.679,16.6,73.93,35.5,1,0,18.162
1,439,20.6,63.21,41.79,0,1,30.564
1,369.119,13.28,70.93,22.93,1,0,17.939
1,351.32,20.96,85.42,24.51,1,0,3.365
1,295.239,18.2,79.89,15.29,0,0,13.144
1,267.959,10,87.56,3.53,0,0,21.502
1,156,13,65.5,30.5,1,1,23.891
1,111.599,19.76,63.5,30.5,1,1,25.842
1,5.76,5.76,73.5,46.5,0,1,26.359
2,322.16,18.96,89.36,20.3,0,0,4.739
2,265.119,9.4,72.5,4.5,0,1,26.159
2,201.96,13.64,89.68,2.15,0,1,22.868
2,162,17.88,74.5,34.5,1,0,17.126
2,132.759,15.64,64.5,19.5,1,1,24.865
2,113.68,19.48,87.48,26.83,1,0,2.227
2,45.2,21.12,76.5,5.93,0,0,22.665
3,707.2,11.2,7.78,27.96,1,0,3.893
3,569.32,19.16,7.53,18.29,0,0,7.086
3,508.64,16.12,23.5,27.64,1,0,18.439
3,432.399,20.92,7.28,2.38,0,1,22.71
3,342.64,20.24,22.08,3.76,0,1,27.099
3,203.88,13.28,19.55,19.74,1,0,15.236
3,175.039,12.92,7.35,30.79,1,0,6.159
3,150.08,15.76,18.5,46.5,1,1,25.254
4,282.76,14.28,5.89,23.74,1,0,1.413
4,256.92,12.72,19.5,36.93,0,0,18.584
1,686.32,8.36,14.41,47.9,0,1,24.664
1,514.88,20.24,19.69,18.28,0,0,15.927
1,289.119,5.12,7.19,25.68,1,0,2.055
1,249,15.96,24.61,3.72,1,1,28.768
1,185.039,13.56,18.42,24.74,1,0,13.172
1,164.96,15.68,23.329,9.831,0,0,23.6
2,301.48,19.24,34.5,20.5,0,1,29.594
2,184,15.4,15.44,2.3,0,1,24.882
2,160.16,18.76,12.88,47.84,1,1,24.08
2,83.16,17.84,5.78,26.35,1,0,1.45
3,678,10,88.21,20.82,1,0,4.214
3,642.96,20.08,88.62,27.82,0,0,2.822
3,596.679,19.76,72.27,44.39,0,1,25.447
3,475.679,13.68,72.24,43.02,0,1,24.439
3,441.679,23.68,88.32,23.23,1,0,1.821
3,352.92,17.64,70.31,34.51,1,0,20.747
3,150.839,11.76,73.51,25.93,0,0,15.268
3,111.839,8.04,90.65,40.58,0,0,15.695
3,5.82,2.76,64.5,35.5,1,1,26.425
1,637.64,9.64,5.39,28.57,1,0,3.572
1,459.16,19.12,26.36,10.5,0,1,25.61
1,387,11.96,25.5,11.07,1,1,24.578
2,447.2,18.24,5.66,23.92,1,0,1.155
2,416.119,14.88,1.49,47.36,1,1,22.673
2,393.519,18.56,31.47,27.58,1,1,26.346
2,357.399,18.56,29.29,26.52,0,1,24.088
2,288.88,19.72,15.39,40.01,0,0,18.114
2,243.279,10.32,4.75,21.54,1,0,3.495
2,160.44,12.92,5.24,26.19,1,0,1.19
2,116.519,14.24,20.55,3.55,1,1,26.347
2,41.659,19.84,24.5,8.5,0,1,25.353
2,683.119,15.2,11.44,47.01,0,1,22.863
2,650.84,10.68,19.98,19.71,1,0,15.651
2,498.239,16.56,31.5,37.93,0,1,29.261
3,656.4,20.68,89.09,22.5,1,0,2.523
3,442.359,9.68,86.63,32.37,0,0,7.668
3,318.16,13,64.5,33.5,0,1,25.696
3,197.839,19.44,86.85,0.989,0,1,24.085
3,161.24,23.76,64.21,25.5,0,1,24.545
1,700.679,21.44,17.87,47.03,0,1,25.388
1,418.799,14,21.62,4.33,0,1,26.367
1,382.48,17,7.95,20.81,0,0,4.984
1,356.799,21.24,17.62,7.99,0,0,21.032
1,258.88,13.68,27.02,39.43,0,1,26.118
1,158.639,18.16,13.94,20.65,0,0,9.717
1,31.5,18.96,2.53,47.63,0,1,22.792
1,0.219,0.219,44.5,34.5,0,1,40.383
2,171.279,20.2,32.65,27.22,0,1,27.489
2,138,19.84,4.64,24.21,0,0,0.998
2,55.68,13.2,15.52,35.77,1,0,14.881
3,624.2,14.12,74.59,40.2,1,0,20.773
3,594.52,16.96,67.54,10.53,0,1,25.675
3,522.479,10.16,66.031,31.389,1,0,23.6
3,465.839,17.6,89.06,27.95,1,0,2.966
3,431.679,7.8,70.43,30.65,0,0,19.171
3,364.2,15.6,88.32,2.27,0,1,22.734
3,235.839,21,61.5,29.5,1,1,27.619
3,79.04,20.48,86.14,1.84,1,1,23.306
3,38.419,19.48,68.56,6.82,0,1,27.168
4,345.239,13.96,63.93,24.5,0,1,24.825
4,313.64,5.28,85.35,13.56,0,0,11.934
4,227.96,5.12,82.22,42.42,1,0,18.603
4,115.559,8.36,88.32,23.54,1,0,1.522
4,53.4,6.84,67.48,38.28,1,1,25.075
1,638.359,9.08,85.18,46.4,0,0,21.695
1,204.8,14.72,74,5.43,0,1,24.506
1,192.559,20.12,88.86,28.35,0,0,3.351
1,83.48,16.4,66.36,37.36,0,1,25.575
1,70.44,15.76,88.66,23.37,1,0,1.632
1,35.419,6.2,89.36,23.6,1,0,1.527
2,322.679,5.36,87.75,24.78,0,0,1.023
2,285.679,14.8,87.28,27.54,0,0,2.934
2,202.96,13.64,72.36,42.5,0,1,23.976
2,105.68,16.76,88.08,22.61,1,0,2.482
3,625.559,7.08,16.03,47.15,1,1,24.633
3,0.839,0.839,24.5,44.5,0,1,27.4
4,492.16,13.52,8.66,47.97,0,1,23.221
4,395.48,18.32,16.79,36.5,1,0,16.291
4,267.48,2.24,7.38,47.71,0,1,22.809
4,222.679,8.64,6,29.13,1,0,4.197
4,74.319,11.56,20.193,43.265,0,0,23.6
5,270.559,9.28,29.37,16.56,1,1,25.554
5,245.679,14.72,26.5,6.64,1,1,28.082
5,40.34,8.28,3.33,46.99,1,0,22.073
1,659.32,20.48,17.06,17.18,0,0,14.164
1,598.52,18.04,30.43,28.57,1,1,25.431
1,577.239,17.92,7.02,41.29,1,0,16.385
1,426.04,19.56,25.84,40.88,0,1,26.002
1,401.2,14.56,15.66,28.99,1,0,11.148
1,237.16,18.36,19.89,4.71,1,1,25.02
1,52.459,9.2,20.9,5.12,0,1,25.3
1,9.119,6.04,31.33,37.33,1,1,28.847
2,238.759,13.04,9.9,27.58,1,0,5.317
2,63.08,21.68,4.64,25.75,0,0,0.966
2,10.359,6,32.22,12.91,0,1,29.555
3,684.679,2.32,88.24,6.5,0,0,18.507
3,614.08,19.4,86.49,13.5,0,0,11.719
3,357.239,7.88,73.43,31.18,1,0,16.519
3,324.799,14.2,86.85,23.05,1,0,2.722
3,193.36,19.04,67.88,36.019,0,0,23.6
3,128.679,12.32,88.86,23.31,0,0,1.693
3,105.16,18.44,90.84,1.96,0,1,23.134
3,59.599,9.2,79.32,30.67,1,0,11.003
3,34.779,13.68,88.62,30.04,0,0,5.041
4,316.279,13.08,66.7,38.29,0,1,25.745
1,685.359,16.88,6.96,26.77,0,0,2.461
1,597.52,12.72,18.86,11.83,1,0,18.938
1,362.16,15.44,21.5,43.5,1,1,24.623
1,295.399,15.04,28.08,14.45,0,1,25.149
1,236.36,18.56,7.36,30.06,1,0,5.482
1,214.88,14.44,30.36,24.64,0,1,25.112
1,81.599,6.2,3.32,48.35,1,1,23.429
1,29.959,18.88,30.4,35.43,1,1,27.226
2,355.359,12.8,13.86,47.37,0,1,23.969
2,143.919,18.64,16.333,4.164,1,0,23.6
2,12.659,3.2,4.78,26.68,1,0,1.744
3,668.88,21,68.5,6.5,1,1,27.428
3,635.679,20.68,89.07,26.4,1,0,1.436
3,582.919,15.92,67.5,12.36,1,1,24.725
3,441.799,10.2,88.48,25.26,1,0,0.374
3,362.799,20.08,65.07,35.79,0,1,26.022
3,130.119,18.12,67.64,41.64,0,1,26.879
1,614.64,11.84,79.15,48.15,1,1,25.061
1,516,11.32,82.75,2.02,0,1,23.75
1,213.36,12.52,78.14,47.29,0,1,24.686
1,137.24,11.68,65.86,35.4,0,1,25.141
1,29.36,16.48,88.56,3.01,1,0,21.99
1,1.74,1.74,57.68,32.46,0,1,31.953
2,359.079,2.84,73.25,45.18,0,1,25.445
